id,title,place,description,siteUrl,favoritesCount,commentsCount,publicationDate,rating
51215,"В Петербурге откроется сеть математических кружков от лицея № 239","null","Занятия в ведущей школе города станут доступнее.",https://kudago.com/spb/news/v-peterburge-otkroetsya-set/,0,0,1725029127,0.5
51214,"В лесу в Ленобласти заметили соболя, который там не обитает","null","Ушастый зверёк выбрался в дикую природу.",https://kudago.com/spb/news/v-lesu-v-lenoblasti-zametili/,0,0,1725024938,0.5
51208,"Go по работам: поэт Янур Василиев про вдохновение как особенное состояние мозга, поэзию безвременья и фестиваль «День Д»","null","На этих выходных в Петербурге пройдёт фестиваль «День Д», посвящённый творчеству Сергея Довлатова. Мы поговорили с одним из его участников — поэтом Януром Васильевым — о том, почему для него так важно участвовать в этом событии, что стоит за каждым написанным стихотворением и как поймать музу, если она от тебя постоянно ускользает.",https://kudago.com/spb/news/go-po-rabotam-poet-yanur/,0,0,1725016957,0.5
51211,"Зрители «Поющих мостов» смогут увидеть лазерное шоу про Петербург будущего","null","Публике покажут, какие крупные объекты скоро украсят город.",https://kudago.com/spb/news/zriteli-poyuschih-mostov-smogut/,0,0,1725013884,0.5
51210,"Появились первые кадры фильма «Мир Юрского периода: Возрождение»","null","Седьмая часть франшизы выйдет летом 2025-го.",https://kudago.com/all/news/poyavilis-pervyie-kadryi-filma/,0,0,1725008653,0.5
51209,"Netflix анонсировал сериал о звёздах баскетбола","null","Шоу покажет спортивную и личную жизнь игроков НБА.",https://kudago.com/all/news/netflix-anonsiroval-serial-o-zvezdah-basketbola/,0,0,1725006619,0.5
51205,"Англичанин нашёл в гараже гравюры Сальвадора Дали","null","Творения прятались там полвека.",https://kudago.com/all/news/anglichanin-nashyol-v-garazhe/,0,0,1724945414,0.5
51203,"К началу учебного года выпустят тематические «Подорожники»","null","Тираж ограничен.",https://kudago.com/spb/news/k-nachalu-uchebnogo-goda-vyipustyat/,0,0,1724942930,0.5
51202,"Дикие лисы осваиваются в Приморском районе","null","Рыжих хищниц регулярно видят на улицах.",https://kudago.com/spb/news/dikie-lisyi-osvaivayutsya-v/,0,0,1724942491,0.5
51201,"Россияне поделились любимыми спортивными активностями этого лета","null","Сезон стал прибыльным для фитнес-клубов.",https://kudago.com/all/news/rossiyane-podelilis-lyubimyimi/,0,0,1724942096,0.5
51200,"В районе Купчино сделают новую велодорожку","null","Работы завершат в конце осени.",https://kudago.com/spb/news/v-kupchino-sdelayut-novuyu/,0,0,1724938543,0.5
51198,"Режиссёр «Холопа» снимет новую версию «Королевства кривых зеркал»","null","Съёмки стартуют в следующем году.",https://kudago.com/all/news/rezhissyor-holopa-snimet-novuyu/,0,0,1724930824,0.5
51197,"Парад планет наблюдали одновременно с северным сиянием","null","Снимки появились в соцсетях.",https://kudago.com/spb/news/parad-planet-nablyudali/,0,0,1724926243,0.5
51195,"В Приморском районе благоустроили берег Большой Невки","null","Новое общественное пространство откроют в ближайшее время.",https://kudago.com/spb/news/v-primorskom-rajone/,0,0,1724923906,0.5
51190,"В Петербурге готовятся строить трамвайную линию от Парнаса до Бугров","null","Идёт оформление документов.",https://kudago.com/spb/news/v-peterburge-gotovyatsya-stroit/,0,0,1724854420,0.5
51188,"Вышел премьерный трейлер нового «Соника»","null","В кинотеатрах фильм выйдет в конце года.",https://kudago.com/all/news/vyishel-premernyij-trejler-novogo/,0,0,1724854341,0.5
51187,"У лосей Ленобласти начался гон","null","Возрастает риск ДТП с их участием.",https://kudago.com/spb/news/u-losej-lenoblasti-nachalsya-gon/,0,0,1724844276,0.5
